utilization.gpu [%], memory.used [MiB]
7 %, 1567 MiB
14 %, 1587 MiB
78 %, 1632 MiB
2 %, 1648 MiB
5 %, 1705 MiB
12 %, 1683 MiB
2 %, 1917 MiB
4 %, 1877 MiB
10 %, 1639 MiB
21 %, 1666 MiB
6 %, 1655 MiB
6 %, 1647 MiB
6 %, 1644 MiB
30 %, 1652 MiB
43 %, 1626 MiB
46 %, 1606 MiB
4 %, 1602 MiB
0 %, 1603 MiB
1 %, 1603 MiB
2 %, 1595 MiB
3 %, 1595 MiB
7 %, 1594 MiB
0 %, 1590 MiB
0 %, 1584 MiB
0 %, 1584 MiB
1 %, 1584 MiB
2 %, 1608 MiB
8 %, 1615 MiB
31 %, 1645 MiB
23 %, 1639 MiB
16 %, 1630 MiB
8 %, 1624 MiB
8 %, 1619 MiB
8 %, 1614 MiB
10 %, 1587 MiB
8 %, 1593 MiB
8 %, 1591 MiB
8 %, 1591 MiB
8 %, 1610 MiB
1 %, 1609 MiB
4 %, 1609 MiB
1 %, 1607 MiB
3 %, 1597 MiB
4 %, 1599 MiB
4 %, 1604 MiB
5 %, 1603 MiB
7 %, 1601 MiB
6 %, 1593 MiB
4 %, 1593 MiB
4 %, 1586 MiB
4 %, 1583 MiB
4 %, 1583 MiB
5 %, 1583 MiB
10 %, 1583 MiB
4 %, 1583 MiB
19 %, 1585 MiB
1 %, 1585 MiB
1 %, 1585 MiB
0 %, 1585 MiB
2 %, 1585 MiB
3 %, 1585 MiB
1 %, 1581 MiB
1 %, 1581 MiB
0 %, 1581 MiB
0 %, 1581 MiB
3 %, 1581 MiB
5 %, 1581 MiB
4 %, 1581 MiB
4 %, 1581 MiB
25 %, 1581 MiB
25 %, 1581 MiB
14 %, 1581 MiB
11 %, 1581 MiB
11 %, 1581 MiB
4 %, 1581 MiB
6 %, 1581 MiB
12 %, 1581 MiB
8 %, 1581 MiB
7 %, 1581 MiB
5 %, 1581 MiB
4 %, 1581 MiB
4 %, 1581 MiB
1 %, 1585 MiB
0 %, 1585 MiB
0 %, 1581 MiB
3 %, 1595 MiB
7 %, 1623 MiB
5 %, 1623 MiB
6 %, 1623 MiB
6 %, 1630 MiB
4 %, 1632 MiB
0 %, 1630 MiB
8 %, 1680 MiB
2 %, 1681 MiB
10 %, 1676 MiB
3 %, 1688 MiB
3 %, 1650 MiB
1 %, 1629 MiB
5 %, 1634 MiB
10 %, 1629 MiB
5 %, 1629 MiB
5 %, 1637 MiB
5 %, 1625 MiB
5 %, 1630 MiB
5 %, 1626 MiB
5 %, 1626 MiB
5 %, 1623 MiB
5 %, 1628 MiB
45 %, 1660 MiB
1 %, 1660 MiB
2 %, 1706 MiB
1 %, 1701 MiB
3 %, 1690 MiB
5 %, 1678 MiB
9 %, 1671 MiB
9 %, 1674 MiB
9 %, 1645 MiB
10 %, 1637 MiB
9 %, 1637 MiB
9 %, 1632 MiB
53 %, 1628 MiB
1 %, 1628 MiB
5 %, 1624 MiB
10 %, 1628 MiB
3 %, 1624 MiB
1 %, 1624 MiB
2 %, 1624 MiB
5 %, 1624 MiB
5 %, 1624 MiB
1 %, 1628 MiB
19 %, 1660 MiB
12 %, 1658 MiB
2 %, 1637 MiB
2 %, 1635 MiB
5 %, 1633 MiB
7 %, 1629 MiB
7 %, 1629 MiB
38 %, 1629 MiB
51 %, 1626 MiB
6 %, 1626 MiB
6 %, 1630 MiB
11 %, 1626 MiB
6 %, 1626 MiB
6 %, 1626 MiB
0 %, 1626 MiB
6 %, 1630 MiB
6 %, 1626 MiB
11 %, 1626 MiB
3 %, 1626 MiB
2 %, 1630 MiB
5 %, 1626 MiB
7 %, 1626 MiB
12 %, 1626 MiB
12 %, 1626 MiB
10 %, 1626 MiB
22 %, 1626 MiB
10 %, 1626 MiB
33 %, 1626 MiB
98 %, 1610 MiB
5 %, 1606 MiB
3 %, 1606 MiB
0 %, 1606 MiB
12 %, 1606 MiB
16 %, 1610 MiB
47 %, 1606 MiB
30 %, 1610 MiB
6 %, 1610 MiB
56 %, 1606 MiB
53 %, 1606 MiB
5 %, 1606 MiB
69 %, 1606 MiB
9 %, 1606 MiB
45 %, 1606 MiB
45 %, 1606 MiB
5 %, 1606 MiB
7 %, 1605 MiB
9 %, 1618 MiB
34 %, 1622 MiB
3 %, 1622 MiB
2 %, 1618 MiB
5 %, 1614 MiB
33 %, 1614 MiB
5 %, 1616 MiB
4 %, 1607 MiB
8 %, 1607 MiB
16 %, 1591 MiB
16 %, 1591 MiB
8 %, 1591 MiB
8 %, 1591 MiB
8 %, 1588 MiB
8 %, 1588 MiB
8 %, 1592 MiB
9 %, 1588 MiB
8 %, 1588 MiB
8 %, 1588 MiB
9 %, 1592 MiB
8 %, 1588 MiB
7 %, 1593 MiB
8 %, 1593 MiB
8 %, 1590 MiB
10 %, 1602 MiB
8 %, 1598 MiB
8 %, 1599 MiB
7 %, 1593 MiB
8 %, 1597 MiB
8 %, 1583 MiB
8 %, 1583 MiB
8 %, 1587 MiB
8 %, 1587 MiB
8 %, 1583 MiB
8 %, 1587 MiB
8 %, 1587 MiB
8 %, 1587 MiB
8 %, 1587 MiB
8 %, 1588 MiB
8 %, 1583 MiB
8 %, 1588 MiB
10 %, 1584 MiB
10 %, 1584 MiB
8 %, 1584 MiB
8 %, 1584 MiB
8 %, 1588 MiB
8 %, 1584 MiB
8 %, 1584 MiB
0 %, 1584 MiB
8 %, 1584 MiB
8 %, 1584 MiB
8 %, 1584 MiB
0 %, 1588 MiB
8 %, 1584 MiB
8 %, 1584 MiB
8 %, 1600 MiB
8 %, 1600 MiB
8 %, 1597 MiB
3 %, 1593 MiB
9 %, 1598 MiB
1 %, 1597 MiB
9 %, 1584 MiB
8 %, 1584 MiB
8 %, 1584 MiB
1 %, 1584 MiB
7 %, 1588 MiB
8 %, 1584 MiB
8 %, 1584 MiB
9 %, 1584 MiB
7 %, 1588 MiB
10 %, 1584 MiB
9 %, 1588 MiB
10 %, 1588 MiB
9 %, 1588 MiB
21 %, 1604 MiB
19 %, 1592 MiB
21 %, 1592 MiB
20 %, 1592 MiB
11 %, 1585 MiB
22 %, 1584 MiB
21 %, 1594 MiB
20 %, 1589 MiB
22 %, 1589 MiB
20 %, 1584 MiB
10 %, 1597 MiB
10 %, 1586 MiB
10 %, 1590 MiB
10 %, 1586 MiB
9 %, 1586 MiB
