utilization.gpu [%], memory.used [MiB]
0 %, 1512 MiB
0 %, 1515 MiB
26 %, 1516 MiB
0 %, 1516 MiB
8 %, 1528 MiB
4 %, 1556 MiB
21 %, 1556 MiB
17 %, 1563 MiB
2 %, 1564 MiB
8 %, 1560 MiB
4 %, 1555 MiB
6 %, 1561 MiB
12 %, 1538 MiB
18 %, 1510 MiB
51 %, 1501 MiB
2 %, 1516 MiB
2 %, 1517 MiB
4 %, 1630 MiB
1 %, 1596 MiB
10 %, 1576 MiB
6 %, 1576 MiB
31 %, 1617 MiB
8 %, 1669 MiB
8 %, 1645 MiB
40 %, 1617 MiB
40 %, 1650 MiB
26 %, 1637 MiB
11 %, 1592 MiB
18 %, 1578 MiB
38 %, 1578 MiB
25 %, 1578 MiB
16 %, 1572 MiB
17 %, 1572 MiB
9 %, 1622 MiB
2 %, 1619 MiB
4 %, 1599 MiB
2 %, 1594 MiB
6 %, 1636 MiB
2 %, 1636 MiB
47 %, 1647 MiB
23 %, 1614 MiB
3 %, 1607 MiB
29 %, 1628 MiB
40 %, 1619 MiB
34 %, 1620 MiB
19 %, 1625 MiB
8 %, 1609 MiB
2 %, 1593 MiB
1 %, 1591 MiB
9 %, 1587 MiB
7 %, 1585 MiB
72 %, 1585 MiB
40 %, 1597 MiB
15 %, 1598 MiB
4 %, 1599 MiB
6 %, 1586 MiB
7 %, 1600 MiB
9 %, 1683 MiB
3 %, 1657 MiB
5 %, 1634 MiB
1 %, 1634 MiB
1 %, 1634 MiB
5 %, 1661 MiB
4 %, 1661 MiB
10 %, 1661 MiB
7 %, 1661 MiB
12 %, 1661 MiB
20 %, 1661 MiB
3 %, 1661 MiB
2 %, 1661 MiB
9 %, 1661 MiB
11 %, 1661 MiB
20 %, 1661 MiB
21 %, 1661 MiB
100 %, 1625 MiB
6 %, 1656 MiB
9 %, 1684 MiB
4 %, 1680 MiB
7 %, 1671 MiB
14 %, 1704 MiB
19 %, 1706 MiB
6 %, 1681 MiB
29 %, 1697 MiB
42 %, 1704 MiB
4 %, 1685 MiB
6 %, 1670 MiB
13 %, 1651 MiB
13 %, 1639 MiB
29 %, 1650 MiB
14 %, 1625 MiB
52 %, 1654 MiB
19 %, 1644 MiB
27 %, 1626 MiB
12 %, 1611 MiB
52 %, 1611 MiB
34 %, 1531 MiB
13 %, 1556 MiB
14 %, 1547 MiB
19 %, 1547 MiB
23 %, 1538 MiB
10 %, 1537 MiB
12 %, 1518 MiB
13 %, 1517 MiB
21 %, 1511 MiB
15 %, 1504 MiB
22 %, 1504 MiB
34 %, 1531 MiB
35 %, 1543 MiB
15 %, 1541 MiB
20 %, 1524 MiB
26 %, 1522 MiB
24 %, 1514 MiB
25 %, 1514 MiB
27 %, 1527 MiB
27 %, 1527 MiB
27 %, 1495 MiB
29 %, 1495 MiB
25 %, 1519 MiB
28 %, 1518 MiB
28 %, 1504 MiB
27 %, 1510 MiB
31 %, 1510 MiB
27 %, 1506 MiB
31 %, 1509 MiB
28 %, 1509 MiB
30 %, 1509 MiB
27 %, 1504 MiB
26 %, 1495 MiB
26 %, 1492 MiB
49 %, 1522 MiB
18 %, 1719 MiB
5 %, 1771 MiB
0 %, 1771 MiB
0 %, 1758 MiB
13 %, 1757 MiB
6 %, 1748 MiB
1 %, 1744 MiB
0 %, 1525 MiB
0 %, 1704 MiB
3 %, 1713 MiB
1 %, 1705 MiB
0 %, 1703 MiB
0 %, 1705 MiB
0 %, 1705 MiB
0 %, 1690 MiB
100 %, 1717 MiB
0 %, 1717 MiB
1 %, 1719 MiB
0 %, 1714 MiB
0 %, 1706 MiB
0 %, 1706 MiB
0 %, 1536 MiB
0 %, 1532 MiB
0 %, 1512 MiB
57 %, 1507 MiB
1 %, 1498 MiB
0 %, 1494 MiB
0 %, 1494 MiB
0 %, 1494 MiB
0 %, 1494 MiB
9 %, 1501 MiB
100 %, 1698 MiB
2 %, 1693 MiB
2 %, 1636 MiB
5 %, 1689 MiB
83 %, 1714 MiB
5 %, 1720 MiB
1 %, 1720 MiB
0 %, 1710 MiB
33 %, 1718 MiB
16 %, 1728 MiB
0 %, 1735 MiB
0 %, 1734 MiB
0 %, 1723 MiB
7 %, 1724 MiB
13 %, 1722 MiB
9 %, 1727 MiB
5 %, 1727 MiB
0 %, 1729 MiB
43 %, 1722 MiB
0 %, 1727 MiB
0 %, 1727 MiB
0 %, 1713 MiB
1 %, 1681 MiB
0 %, 1694 MiB
0 %, 1693 MiB
0 %, 1688 MiB
2 %, 1503 MiB
0 %, 1499 MiB
0 %, 1493 MiB
1 %, 1482 MiB
1 %, 1470 MiB
0 %, 1464 MiB
0 %, 1671 MiB
1 %, 1671 MiB
0 %, 1670 MiB
2 %, 1665 MiB
28 %, 1728 MiB
24 %, 1692 MiB
16 %, 1552 MiB
21 %, 1534 MiB
30 %, 1531 MiB
25 %, 1527 MiB
26 %, 1484 MiB
24 %, 1482 MiB
26 %, 1481 MiB
23 %, 1475 MiB
27 %, 1481 MiB
28 %, 1481 MiB
24 %, 1481 MiB
27 %, 1481 MiB
24 %, 1481 MiB
24 %, 1481 MiB
28 %, 1461 MiB
24 %, 1479 MiB
27 %, 1477 MiB
28 %, 1477 MiB
28 %, 1478 MiB
26 %, 1478 MiB
25 %, 1468 MiB
30 %, 1468 MiB
25 %, 1468 MiB
29 %, 1462 MiB
25 %, 1461 MiB
36 %, 1478 MiB
28 %, 1478 MiB
25 %, 1478 MiB
24 %, 1463 MiB
24 %, 1463 MiB
25 %, 1458 MiB
25 %, 1463 MiB
25 %, 1463 MiB
24 %, 1463 MiB
24 %, 1474 MiB
24 %, 1474 MiB
27 %, 1473 MiB
24 %, 1468 MiB
38 %, 1468 MiB
26 %, 1470 MiB
25 %, 1479 MiB
35 %, 1513 MiB
25 %, 1514 MiB
0 %, 1500 MiB
17 %, 1731 MiB
1 %, 1731 MiB
0 %, 1721 MiB
0 %, 1694 MiB
0 %, 1694 MiB
1 %, 1691 MiB
2 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1678 MiB
0 %, 1680 MiB
1 %, 1669 MiB
1 %, 1669 MiB
1 %, 1479 MiB
0 %, 1676 MiB
0 %, 1678 MiB
1 %, 1678 MiB
0 %, 1664 MiB
0 %, 1474 MiB
0 %, 1470 MiB
0 %, 1468 MiB
0 %, 1469 MiB
