utilization.gpu [%], memory.used [MiB]
0 %, 1455 MiB
1 %, 1466 MiB
2 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
0 %, 1469 MiB
36 %, 1499 MiB
0 %, 1499 MiB
2 %, 1483 MiB
0 %, 1483 MiB
0 %, 1483 MiB
0 %, 1483 MiB
0 %, 1483 MiB
0 %, 1483 MiB
0 %, 1489 MiB
0 %, 1489 MiB
0 %, 1482 MiB
5 %, 1481 MiB
13 %, 1508 MiB
0 %, 1498 MiB
0 %, 1498 MiB
0 %, 1498 MiB
5 %, 1491 MiB
0 %, 1480 MiB
0 %, 1479 MiB
0 %, 1479 MiB
0 %, 1479 MiB
3 %, 1473 MiB
0 %, 1473 MiB
2 %, 1473 MiB
31 %, 1474 MiB
18 %, 1476 MiB
0 %, 1474 MiB
0 %, 1484 MiB
21 %, 1481 MiB
6 %, 1481 MiB
16 %, 1471 MiB
1 %, 1473 MiB
0 %, 1473 MiB
7 %, 1469 MiB
14 %, 1468 MiB
0 %, 1473 MiB
14 %, 1476 MiB
18 %, 1478 MiB
7 %, 1478 MiB
0 %, 1477 MiB
24 %, 1477 MiB
19 %, 1465 MiB
3 %, 1465 MiB
4 %, 1461 MiB
0 %, 1459 MiB
0 %, 1459 MiB
0 %, 1451 MiB
0 %, 1461 MiB
0 %, 1456 MiB
0 %, 1456 MiB
0 %, 1456 MiB
0 %, 1460 MiB
0 %, 1460 MiB
0 %, 1459 MiB
5 %, 1459 MiB
0 %, 1452 MiB
0 %, 1449 MiB
0 %, 1438 MiB
0 %, 1438 MiB
0 %, 1438 MiB
0 %, 1435 MiB
2 %, 1436 MiB
0 %, 1457 MiB
2 %, 1457 MiB
0 %, 1457 MiB
0 %, 1457 MiB
0 %, 1457 MiB
0 %, 1457 MiB
0 %, 1457 MiB
0 %, 1457 MiB
0 %, 1457 MiB
0 %, 1457 MiB
29 %, 1437 MiB
23 %, 1451 MiB
42 %, 1509 MiB
8 %, 1506 MiB
36 %, 1537 MiB
39 %, 1524 MiB
17 %, 1524 MiB
14 %, 1513 MiB
43 %, 1492 MiB
16 %, 1463 MiB
15 %, 1459 MiB
22 %, 1480 MiB
20 %, 1493 MiB
100 %, 1745 MiB
8 %, 1804 MiB
1 %, 1743 MiB
16 %, 1519 MiB
17 %, 1515 MiB
15 %, 1506 MiB
38 %, 1514 MiB
25 %, 1498 MiB
17 %, 1482 MiB
16 %, 1481 MiB
16 %, 1503 MiB
19 %, 1499 MiB
19 %, 1490 MiB
16 %, 1474 MiB
39 %, 1474 MiB
15 %, 1464 MiB
51 %, 1491 MiB
16 %, 1473 MiB
14 %, 1458 MiB
14 %, 1467 MiB
22 %, 1463 MiB
20 %, 1466 MiB
20 %, 1467 MiB
21 %, 1450 MiB
21 %, 1450 MiB
2 %, 1448 MiB
3 %, 1473 MiB
2 %, 1463 MiB
11 %, 1467 MiB
30 %, 1470 MiB
15 %, 1457 MiB
2 %, 1452 MiB
2 %, 1465 MiB
2 %, 1465 MiB
4 %, 1448 MiB
14 %, 1448 MiB
13 %, 1448 MiB
12 %, 1447 MiB
73 %, 1447 MiB
12 %, 1447 MiB
20 %, 1443 MiB
0 %, 1478 MiB
0 %, 1478 MiB
4 %, 1477 MiB
2 %, 1480 MiB
52 %, 1480 MiB
14 %, 1480 MiB
21 %, 1520 MiB
8 %, 1520 MiB
8 %, 1510 MiB
29 %, 1486 MiB
13 %, 1485 MiB
27 %, 1472 MiB
13 %, 1460 MiB
21 %, 1452 MiB
20 %, 1452 MiB
20 %, 1452 MiB
37 %, 1448 MiB
16 %, 1448 MiB
12 %, 1448 MiB
47 %, 1470 MiB
2 %, 1470 MiB
2 %, 1478 MiB
2 %, 1477 MiB
5 %, 1472 MiB
4 %, 1474 MiB
11 %, 1480 MiB
10 %, 1477 MiB
13 %, 1475 MiB
15 %, 1471 MiB
60 %, 1480 MiB
6 %, 1469 MiB
9 %, 1470 MiB
9 %, 1488 MiB
0 %, 1488 MiB
13 %, 1488 MiB
0 %, 1487 MiB
1 %, 1493 MiB
0 %, 1494 MiB
1 %, 1491 MiB
19 %, 1491 MiB
2 %, 1490 MiB
59 %, 1488 MiB
26 %, 1489 MiB
2 %, 1500 MiB
3 %, 1502 MiB
1 %, 1502 MiB
0 %, 1502 MiB
0 %, 1501 MiB
0 %, 1496 MiB
4 %, 1493 MiB
0 %, 1486 MiB
0 %, 1486 MiB
0 %, 1478 MiB
23 %, 1457 MiB
0 %, 1459 MiB
0 %, 1459 MiB
0 %, 1458 MiB
16 %, 1462 MiB
0 %, 1451 MiB
5 %, 1433 MiB
4 %, 1433 MiB
1 %, 1433 MiB
0 %, 1433 MiB
0 %, 1433 MiB
1 %, 1433 MiB
0 %, 1433 MiB
1 %, 1433 MiB
0 %, 1433 MiB
0 %, 1433 MiB
0 %, 1433 MiB
0 %, 1433 MiB
0 %, 1456 MiB
20 %, 1456 MiB
0 %, 1456 MiB
4 %, 1457 MiB
0 %, 1457 MiB
6 %, 1455 MiB
7 %, 1457 MiB
0 %, 1457 MiB
0 %, 1457 MiB
0 %, 1459 MiB
0 %, 1461 MiB
0 %, 1459 MiB
1 %, 1437 MiB
16 %, 1437 MiB
0 %, 1437 MiB
1 %, 1437 MiB
7 %, 1444 MiB
0 %, 1444 MiB
0 %, 1449 MiB
0 %, 1449 MiB
0 %, 1449 MiB
1 %, 1449 MiB
1 %, 1449 MiB
1 %, 1449 MiB
2 %, 1449 MiB
17 %, 1449 MiB
7 %, 1449 MiB
1 %, 1446 MiB
4 %, 1442 MiB
1 %, 1441 MiB
2 %, 1436 MiB
1 %, 1436 MiB
1 %, 1436 MiB
6 %, 1443 MiB
18 %, 1509 MiB
5 %, 1509 MiB
2 %, 1501 MiB
2 %, 1501 MiB
2 %, 1511 MiB
20 %, 1496 MiB
12 %, 1575 MiB
3 %, 1599 MiB
5 %, 1584 MiB
4 %, 1561 MiB
5 %, 1578 MiB
6 %, 1625 MiB
