image_path,true_label,load_stage,width,height,file_size_kb,blur_score,brightness,edge_density,fast_correct,fast_confidence,fast_latency_ms,fast_utility,balanced_correct,balanced_confidence,balanced_latency_ms,balanced_utility,heavy_correct,heavy_confidence,heavy_latency_ms,heavy_utility,best_tier
data\test\Orange__Healthy\freshOrange (144).png,Orange__Healthy,light,480,322,196.05,534.37,108.12,0.044,1,0.9505,79.56,0.8295,1,1.0,88.31,0.6864,1,0.9999,140.11,0.6574,fast
data\test\Mango__Rotten\aspergillus_015.jpg,Mango__Rotten,light,224,224,6.24,171.07,119.45,0.0278,1,0.935,87.94,0.8267,1,1.0,38.43,0.703,1,0.9998,63.37,0.683,fast
data\test\Strawberry__Rotten\rottenStrawberry (60).jpg,Strawberry__Rotten,light,2589,2296,861.07,57.04,161.62,0.0069,1,0.7465,52.55,0.8385,1,0.9999,56.2,0.6971,1,1.0,241.41,0.6236,fast
data\test\Jujube__Healthy\FreshJujube (27).jpg,Jujube__Healthy,heavy,3674,2825,1433.95,38.06,167.27,0.0001,1,0.8159,621.14,0.6487,1,0.9649,1131.8,0.3381,1,0.9873,394.39,0.5725,fast
data\test\Banana__Healthy\rotated_by_75_Screen Shot 2018-06-12 at 9.48.04 PM.png,Banana__Healthy,light,636,390,242.18,201.12,113.49,0.0302,1,0.9994,69.17,0.8329,1,1.0,62.64,0.695,1,0.9998,38.98,0.6911,fast
data\test\Bellpepper__Rotten\rottenPepper (479).jpg,Bellpepper__Rotten,heavy,183,275,12.38,2283.6,136.76,0.2437,0,0.6896,819.64,-0.4175,1,0.9944,1179.85,0.3221,1,0.8613,1158.25,0.3176,balanced
data\test\Strawberry__Healthy\132.jpg,Strawberry__Healthy,light,224,224,5.98,211.85,104.03,0.0183,1,0.9747,39.78,0.8427,1,1.0,82.29,0.6884,1,1.0,80.51,0.6773,fast
data\test\Mango__Rotten\751.jpg,Mango__Rotten,light,224,224,6.39,112.42,100.46,0.0275,1,0.9739,58.85,0.8364,1,1.0,139.21,0.6694,1,0.9998,58.04,0.6848,fast
data\test\Carrot__Rotten\rottenCarrot (417).jpg,Carrot__Rotten,heavy,250,202,7.55,1048.65,115.32,0.0933,1,0.9328,741.32,0.6086,1,0.9939,1125.23,0.3403,1,0.9954,1048.35,0.3543,fast
data\test\Tomato__Healthy\freshTomato (275).jpg,Tomato__Healthy,heavy,224,224,23.17,64.24,156.79,0.0113,0,0.4216,441.57,-0.2913,1,0.9337,976.03,0.3901,1,0.8793,1017.24,0.3646,balanced
