lambda,winner,utility_always_fast,utility_always_heavy,utility_round_robin,utility_rule_based,utility_ml_router,utility_single_shot_router
0.05,rule_based,0.6713,0.6563,0.6616,0.7283,0.7193,0.6941
0.1,rule_based,0.6443,0.6246,0.632,0.6945,0.6693,0.6586
0.15,rule_based,0.6173,0.5929,0.6024,0.6608,0.6193,0.623
0.2,rule_based,0.5903,0.5612,0.5728,0.627,0.5693,0.5875
0.25,rule_based,0.5632,0.5295,0.5431,0.5932,0.5193,0.5519
0.3,rule_based,0.5362,0.4978,0.5135,0.5595,0.4693,0.5164
0.35,rule_based,0.5092,0.4661,0.4839,0.5257,0.4193,0.4808
0.4,rule_based,0.4822,0.4344,0.4543,0.4919,0.3693,0.4453
0.45,rule_based,0.4552,0.4027,0.4247,0.4582,0.3193,0.4097
0.5,always_fast,0.4281,0.371,0.395,0.4244,0.2693,0.3742
0.55,always_fast,0.4011,0.3393,0.3654,0.3906,0.2193,0.3386
0.6,always_fast,0.3741,0.3076,0.3358,0.3569,0.1693,0.3031
0.65,always_fast,0.3471,0.2759,0.3062,0.3231,0.1193,0.2675
0.7,always_fast,0.3201,0.2442,0.2766,0.2893,0.0693,0.232
0.75,always_fast,0.2931,0.2125,0.2469,0.2556,0.0193,0.1965
0.8,always_fast,0.266,0.1808,0.2173,0.2218,-0.0307,0.1609
0.85,always_fast,0.239,0.1491,0.1877,0.188,-0.0807,0.1254
0.9,always_fast,0.212,0.1174,0.1581,0.1543,-0.1307,0.0898
0.95,always_fast,0.185,0.0857,0.1284,0.1205,-0.1807,0.0543
