lambda,pct_fast,pct_balanced,pct_heavy,balanced_routing_acc,random_baseline_mean,random_baseline_std,prob_source
0.05,0.0,99.67,0.33,0.9916,0.9913,0.0018,calibrated
0.1,0.0,100.0,0.0,0.9833,0.9833,0.0,calibrated
0.15,0.0,100.0,0.0,0.9833,0.9833,0.0,calibrated
0.2,34.67,65.33,0.0,0.9536,0.9262,0.0077,calibrated
0.25,87.17,12.83,0.0,0.9279,0.9267,0.0062,calibrated
0.3,99.33,0.67,0.0,0.9354,0.9297,0.027,calibrated
0.35,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.4,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.45,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.5,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.55,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.6,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.65,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.7,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.75,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.8,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.85,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.9,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
0.95,100.0,0.0,0.0,0.8717,0.8717,0.0,calibrated
