lambda,pct_fast,pct_balanced,pct_heavy,balanced_routing_acc,random_baseline_mean,random_baseline_std,pct_expensive,lift,sigma
0.05,5.0,81.67,13.33,0.9959,0.9481,0.0212,95.0,0.047799999999999954,2.254716981132073
0.1,21.67,76.67,1.67,0.9781,0.9512,0.0066,78.34,0.026899999999999924,4.075757575757565
0.15,50.0,50.0,0.0,0.95,0.9258,0.0053,50.0,0.0242,4.566037735849056
0.2,74.0,26.0,0.0,0.9323,0.9258,0.0056,26.0,0.006500000000000061,1.1607142857142967
0.25,91.33,8.67,0.0,0.9146,0.9278,0.0068,8.67,-0.01319999999999999,-1.941176470588234
0.3,98.33,1.67,0.0,0.9373,0.9311,0.013,1.67,0.006199999999999983,0.4769230769230757
0.35,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.4,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.45,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.5,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.55,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.6,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.65,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.7,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.75,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.8,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.85,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.9,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
0.95,100.0,0.0,0.0,0.8717,0.8717,0.0,0.0,0.0,0.0
