lambda,pct_fast,pct_balanced,pct_heavy,pct_expensive,balanced_routing_acc,random_baseline_mean,random_baseline_std,sigma
0.1,23.17,59.33,17.5,76.83,0.9586,0.9467,0.0061,1.9547
0.105,24.67,59.33,16.0,75.33,0.9589,0.9458,0.0058,2.2437
0.11,26.67,58.17,15.17,73.33,0.9597,0.9454,0.0057,2.5031
0.115,28.33,57.0,14.67,71.67,0.9604,0.9456,0.0058,2.5488
0.12,30.17,55.67,14.17,69.83,0.9648,0.9453,0.0066,2.9635
0.125,32.33,54.67,13.0,67.67,0.9615,0.9455,0.0068,2.3426
0.13,34.17,53.5,12.33,65.83,0.9602,0.9458,0.0065,2.2022
0.135,36.0,52.33,11.67,64.0,0.9588,0.9454,0.0061,2.1838
0.14,37.17,51.67,11.17,62.83,0.9573,0.9456,0.006,1.9624
0.145,38.0,51.67,10.33,62.0,0.9619,0.9454,0.0052,3.185
0.15,40.33,49.67,10.0,59.67,0.9613,0.9452,0.0057,2.8073
0.155,42.5,48.17,9.33,57.5,0.9614,0.9454,0.0053,3.0384
0.16,44.0,47.33,8.67,56.0,0.9623,0.9453,0.0057,2.9983
0.165,46.5,45.5,8.0,53.5,0.9621,0.9457,0.0055,2.9532
0.17,47.5,45.33,7.17,52.5,0.9686,0.9457,0.0054,4.23
0.175,48.67,44.67,6.67,51.33,0.9672,0.9461,0.0065,3.2507
0.18,50.0,43.33,6.67,50.0,0.9675,0.9461,0.0064,3.362
0.185,52.5,42.0,5.5,47.5,0.9642,0.9472,0.0067,2.5362
0.19,54.17,40.5,5.33,45.83,0.9629,0.9468,0.0072,2.2337
0.195,56.17,38.83,5.0,43.83,0.9625,0.9481,0.0065,2.2215
0.2,57.83,37.33,4.83,42.17,0.9613,0.9479,0.0062,2.1786
