lambda,pct_fast,pct_balanced,pct_heavy,pct_expensive,balanced_routing_acc,random_baseline_mean,random_baseline_std,sigma
0.05,7.83,58.33,33.83,92.17,0.9818,0.9464,0.0157,2.2646
0.1,23.17,59.33,17.5,76.83,0.9586,0.9467,0.0061,1.9547
0.15,40.33,49.67,10.0,59.67,0.9613,0.9452,0.0057,2.8073
0.2,57.83,37.33,4.83,42.17,0.9613,0.9479,0.0062,2.1786
0.25,71.67,25.83,2.5,28.33,0.966,0.9485,0.0086,2.0443
0.3,81.83,17.67,0.5,18.17,0.9564,0.951,0.0034,1.5727
0.35,88.67,11.17,0.17,11.33,0.9463,0.9397,0.014,0.4718
0.4,91.83,8.0,0.17,8.17,0.9414,0.9416,0.0126,-0.0146
0.45,93.83,6.17,0.0,6.17,0.9097,0.9269,0.0076,-2.2727
0.5,96.0,4.0,0.0,4.0,0.9045,0.9243,0.011,-1.8026
0.55,98.17,1.83,0.0,1.83,0.8926,0.9287,0.0161,-2.2491
0.6,99.67,0.33,0.0,0.33,0.9356,0.9202,0.0554,0.2776
0.65,100.0,0.0,0.0,0.0,0.8717,0.8717,0.0,0.0
0.7,100.0,0.0,0.0,0.0,0.8717,0.8717,0.0,0.0
0.75,100.0,0.0,0.0,0.0,0.8717,0.8717,0.0,0.0
0.8,100.0,0.0,0.0,0.0,0.8717,0.8717,0.0,0.0
0.85,100.0,0.0,0.0,0.0,0.8717,0.8717,0.0,0.0
0.9,100.0,0.0,0.0,0.0,0.8717,0.8717,0.0,0.0
0.95,100.0,0.0,0.0,0.0,0.8717,0.8717,0.0,0.0
